monitor 253,monitor 254,monitor 255,
0,0,0.0488529,
0,0,0.042675,
0,0,0.0462065,
0,0,0.0546059,
0,0,0.0540189,
0,0,0.0460301,
0,0,0.0449082,
0,0,0.0524162,
0,0,0.0546783,
0,0,0.0466877,
0,0,0.0411589,
0,0,0.0460621,
0,0,0.0505547,
0,0,0.0441776,
0,0,0.0353451,
0,0,0.0364408,
0,0,0.0419393,
0,0,0.03825,
0,0,0.0277819,
0,0,0.0246349,
0,0,0.0296448,
0,0,0.0289957,
0,0,0.0187435,
0,0,0.0117539,
0,0,0.0148775,
0,0,0.0169008,
0,0,0.00852123,
0,0,0.00118906,
0,0,0.000934843,
0,0,0.00283239,
0,0,0.00250973,
0,0,0.0133466,
0,0,0.016327,
0,0,0.0120448,
0,0,0.013844,
0,0,0.0240624,
0,0,0.0299645,
0,0,0.0264003,
0,0,0.0248328,
0,0,0.0328609,
0,0,0.040774,
0,0,0.0388967,
0,0,0.0347114,
0,0,0.039415,
0,0,0.0480238,
0,0,0.0483501,
0,0,0.0426642,
0,0,0.0435118,
0,0,0.0513545,
0,0,0.0538661,
0,0,0.0479163,
0,0,0.0450223,
0,0,0.0507623,
0,0,0.0549382,
0,0,0.049837,
0,0,0.0438926,
0,0,0.0465496,
0,0,0.0514934,
0,0,0.0480349,
0,0,0.0401444,
0,0,0.0392535,
0,0,0.0438859,
0,0,0.0424331,
0,0,0.0338982,
0,0,0.0295683,
0,0,0.0328448,
0,0,0.0333053,
0,0,0.0253961,
0,0,0.0182704,
0,0,0.0193805,
0,0,0.0212727,
0,0,0.015027,
0,0,0.00615755,
0,0,0.004674,
0,0,0.00725773,
0,0,0.00333761,
0,0,0.00600037,
0,0,0.0100469,
0,0,0.00760098,
0,0,0.00897483,
0,0,0.0174907,
0,0,0.0236201,
0,0,0.0220577,
0,0,0.0210927,
0,0,0.0276787,
0,0,0.0350463,
0,0,0.0348835,
0,0,0.0321311,
0,0,0.0360176,
0,0,0.0435585,
0,0,0.0449881,
0,0,0.0412107,
0,0,0.0420582,
0,0,0.0486628,
0,0,0.0515232,
0,0,0.0475397,
0,0,0.0454583,
0,0,0.0501488,
0,0,0.053963,
0,0,0.0504987,
0,0,0.0459964,
0,0,0.0480775,
0,0,0.0521444,
0,0,0.0497131,
0,0,0.0435881,
0,0,0.0427468,
0,0,0.0462731,
0,0,0.0451079,
0,0,0.038306,
0,0,0.034649,
0,0,0.0368923,
0,0,0.0369307,
0,0,0.0303921,
0,0,0.0244182,
0,0,0.0248202,
0,0,0.0257453,
0,0,0.020267,
0,0,0.0127817,
0,0,0.0110675,
0,0,0.0123912,
0,0,0.00852283,
0,0,0.000510789,
0,0,0.00325982,
0,0,0.00208669,
0,0,0.0040975,
0,0,0.0116192,
0,0,0.017056,
0,0,0.0165295,
0,0,0.0167402,
0,0,0.0228666,
0,0,0.0293063,
0,0,0.0297687,
0,0,0.0284956,
0,0,0.0325534,
0,0,0.0391594,
0,0,0.0407327,
0,0,0.0384678,
0,0,0.0400944,
0,0,0.0459827,
0,0,0.048541,
0,0,0.0458491,
0,0,0.0450213,
0,0,0.049391,
0,0,0.0525825,
0,0,0.0499959,
0,0,0.047008,
0,0,0.0492584,
0,0,0.0525638,
0,0,0.0504939,
0,0,0.0458919,
0,0,0.0457049,
0,0,0.0485279,
0,0,0.0472051,
0,0,0.0416915,
0,0,0.039075,
0,0,0.0408445,
0,0,0.0402949,
0,0,0.0346146,
0,0,0.0298943,
0,0,0.0301657,
0,0,0.0302293,
0,0,0.0250641,
0,0,0.0188308,
0,0,0.0173646,
0,0,0.0177431,
0,0,0.0136226,
0,0,0.00664576,
0,0,0.00345422,
0,0,0.0037836,
